"job_link","job_skills","job_link (Right)","last_processed_time","got_summary","got_ner","is_being_worked","job_title","company","job_location","first_seen","search_city","search_country","search_position","job_level","job_type"
"https://www.linkedin.com/jobs/view/senior-process-innovation-engineer-amazon-logistics-at-amazon-3767512814","CAD, MS Excel, MS Project, Automation, Software Development, Robotics, HighSpeed Manufacturing, Material Handling Equipment, Lean Principles, Project Management, Business Analysis, Technical Expertise, Innovation, R&D, Quality Assurance, Customer Satisfaction, Leadership, Communication, Collaboration, Problem Solving, Analytical Thinking, Data Analysis, Decision Making, Strategic Planning, Execution, Time Management, Attention to Detail, Bachelor's Degree, Master's Degree, Science, Engineering, Technology, Mathematics, Minimum 5+ Years of Experience","https://www.linkedin.com/jobs/view/senior-process-innovation-engineer-amazon-logistics-at-amazon-3767512814","2024-01-21 07:44:16.354905+00","t","t","f","Senior Process Innovation Engineer, Amazon Logistics","Amazon","Bellevue, WA","2024-01-12","Summit","United States","Chemical Engineer","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/secret-cleared-business-analyst-at-latitude-inc-3787725881","Microsoft Office 365, Microsoft Teams, SharePoint Online, SharePoint 2016/2019, Microsoft PowerPoint, Project Management, Requirements Gathering, Customer Engagement, Documentation, DoD Secret Security Clearance, Project Management Professional (PMP), Agile Methodology, Business Analysis, Solution Development, Stakeholder Management, Microsoft Project, Knowledge Management, Records Management, SharePoint Site Owner, SharePoint Site Collection Administrator, Microsoft Project Web Administrator","https://www.linkedin.com/jobs/view/secret-cleared-business-analyst-at-latitude-inc-3787725881","2024-01-20 04:02:10.555393+00","t","t","f","Secret cleared Business Analyst","Latitude Inc","Crystal City, VA","2024-01-13","Virginia","United States","Quality Assurance Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-analyst-11076-1-at-raps-consulting-inc-3794678844","Technical Writing, Information Security, Microsoft Office Suite, Project Management, POAM Processes, CMS Regulation Compliance, Business Analysis, Communication Skills, Information Technology, Visual Aids, Presentations, Teamwork, Multitasking, Prioritization, Attention to Detail, Complex Processes, Strong English Language Skills, Grammar, Constructive Criticism, System Security Plans, Advance Planning Documents, Request For Proposals, CMS MARSE 2.2, NIST Risk Management Framework (RMF), Bizagi, Public Sector Work Experience, eGRC Tool, Bachelor's Degree in English Journalism or Technical Writing","https://www.linkedin.com/jobs/view/business-analyst-11076-1-at-raps-consulting-inc-3794678844","2024-01-21 07:12:54.937043+00","t","t","f","Business Analyst (11076-1)","RAPS Consulting Inc","Columbia, SC","2024-01-14","Columbia","United States","Consultant Education","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/tax-associate-summer-fall-2024-at-pwc-3661073260","Accounting, Tax laws, Tax strategies, CPA license, Problemsolving, Collaboration, Data analysis, Risk management, Tax compliance, Tax planning, Client service, Verbal and written communication, Teamwork, Business analysis, Financial modeling, Data visualization, Innovation, Digitization, Automation","https://www.linkedin.com/jobs/view/tax-associate-summer-fall-2024-at-pwc-3661073260","2024-01-20 15:30:24.450123+00","t","t","f","Tax Associate - Summer / Fall 2024","PwC","Melville, NY","2024-01-14","Babylon","United States","Tax Preparer","Associate","Onsite"
"https://www.linkedin.com/jobs/view/salesforce-business-analyst-at-treys-pte-ltd-3772931925","Business Analysis, Business Requirements Gathering, Technical Requirements Gathering, Salesforce, Agile Development, User Acceptance Testing, Training Development, Business Analyst Certification, Project Management Methodologies, Presentation Skills, Analytical Skills, Communication Skills, ProblemSolving Skills, Business Analysis Tools, US Citizenship","https://www.linkedin.com/jobs/view/salesforce-business-analyst-at-treys-pte-ltd-3772931925","2024-01-21 07:14:35.589417+00","t","t","f","SalesForce Business Analyst","Treys Pte. Ltd.","Washington, DC","2024-01-17","Clinton","United States","User Support Analyst","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/information-technology-specialist-i-at-california-child-support-services-3788218254","IT Governance, Project Management, Enterprise Architecture, Business Analysis, Change Management, Requirements Gathering, IT Security, Risk Management, Business Continuity Planning, Disaster Recovery Planning, Quality Assurance, Problem Solving, Attention to Detail, Communication, Teamwork, Creativity, Problem Solving","https://www.linkedin.com/jobs/view/information-technology-specialist-i-at-california-child-support-services-3788218254","2024-01-21 07:14:45.67658+00","t","t","f","INFORMATION TECHNOLOGY SPECIALIST I","California Child Support Services","Sacramento, CA","2024-01-16","Sacramento","United States","Information Scientist","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-architect-at-ontario-health-sant%C3%A9-ontario-3789508912","Solution Architect, Architecture, Roadmaps, Business Analysis, Data Architecture, Data Modelling, Data Governance, Azure, Healthcare Interoperability, HL7 V2, HL7 FHIR, Privacy, Security, Information Security, Problem Solving, Analytical Skills, Communication Skills, Autonomy, Collaboration, Business Strategy, Technical Savvy, Requirements Gathering, Public Sector Procurement, Emotional Intelligence, ITIL, PMBOK, COBIT, Zachman, TOGAF, Rational, Agile, FIPPA, PHIPA","https://www.linkedin.com/jobs/view/senior-architect-at-ontario-health-sant%C3%A9-ontario-3789508912","2024-01-20 09:52:58.831914+00","t","t","f","Senior Architect","Ontario Health | Santé Ontario","Ontario, CA","2024-01-12","Pomona","United States","Architect","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/financial-management-consultant-tnt-at-hamdan-resources-3787733456","Business Analysis, Financial Management, Business Process Improvement, Financial Statement Audit, Budgeting/Forecasting, Cost Modeling, Federal Financial Management, IT Audit, OMB A123, GAAP Compliance, ActivityBased Costing, Financial Reporting, Auditability, Regulatory Compliance, Risk Management, Internal Controls, Assurance","https://www.linkedin.com/jobs/view/financial-management-consultant-tnt-at-hamdan-resources-3787733456","2024-01-21 07:40:55.505673+00","t","t","f","Financial Management Consultant TnT","Hamdan Resources","Chantilly, VA","2024-01-16","Washington","United States","Financial Planner","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/senior-project-manager-at-esfm%C2%AE-usa-3801553631","Project Management, Business Analysis, Requirements Gathering, Risk Management, Change Management, Communication Skills, Leadership, Stakeholder Management, Problem Solving, Critical Thinking, Analytical Skills, Organizational Skills, Multitasking, Ability to Work Under Pressure, Ability to Meet Deadlines, Travel, Bachelor's Degree","https://www.linkedin.com/jobs/view/senior-project-manager-at-esfm%C2%AE-usa-3801553631","2024-01-21 08:09:38.811972+00","t","t","f","Senior Project Manager","ESFM® USA","Wayne, PA","2024-01-16","Pottstown","United States","Facilities Planner","Mid senior","Onsite"
"https://www.linkedin.com/jobs/view/business-analysis-at-diverse-lynx-3782106242","Business Analysis, Salesforce, Marketo, Dynamics, Logical data architecture, Cloud data solutions, Agile/Scrum/Epic/Story/Sprint, Data visualization, SQL, Python, R, AWS, Azure, GCP, Machine learning, Artificial intelligence, Big data, Conflict resolution, Negotiation, Communication, Leadership","https://www.linkedin.com/jobs/view/business-analysis-at-diverse-lynx-3782106242","2024-01-21 07:15:37.261707+00","t","t","f","Business Analysis","Diverse Lynx","New Jersey, United States","2024-01-13","Lakehurst","United States","Management Analyst","Mid senior","Onsite"
