job_link,job_title,company,job_location,parse_method
https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3793421130,JDE Business Analyst (Supply Chain),LATICRETE International,Oklahoma City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/senior-business-analyst-remote-at-carefirst-bluecross-blueshield-3780246632,Senior Business Analyst (Remote),CareFirst BlueCross BlueShield,Washington DC-Baltimore Area,non_us_or_metro
https://www.linkedin.com/jobs/view/servicenow-lead-at-new-mexico-bank-trust-a-division-of-htlf-bank-3801139065,ServiceNow Lead,"New Mexico Bank & Trust, a division of HTLF Bank","Rochester-Austin, Minnesota Area",non_us_or_metro
https://www.linkedin.com/jobs/view/strategic-sourcing-program-manager-at-us-tech-solutions-3799309667,Strategic Sourcing Program Manager,US Tech Solutions,San Francisco Bay Area,non_us_or_metro
https://www.linkedin.com/jobs/view/it-business-analyst-at-insight-global-3799982073,IT Business Analyst,Insight Global,Oklahoma City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/ncdhhs-pbm-business-project-manager-at-changing-technologies-inc-3770540187,NCDHHS PBM Business Project  Manager,"Changing Technologies, Inc.","Greater Jacksonville, NC Area",non_us_or_metro
https://www.linkedin.com/jobs/view/prime-vendor-analyst-at-medline-industries-lp-3805432557,Prime Vendor Analyst,"Medline Industries, LP",Greater Cleveland,non_us_or_metro
https://www.linkedin.com/jobs/view/ae-merchandising-team-leader-assistant-manager-us-at-american-eagle-outfitters-inc-3803383373,AE - Merchandising Team Leader (Assistant Manager) - US,AMERICAN EAGLE OUTFITTERS INC.,Greater Tuscaloosa Area,non_us_or_metro
https://www.linkedin.com/jobs/view/senior-manager-sales-business-development-at-ttg-talent-solutions-3790275895,Senior Manager Sales Business Development,ttg Talent Solutions,Miami-Fort Lauderdale Area,non_us_or_metro
https://www.linkedin.com/jobs/view/corporate-assistant-financial-controller-at-potawatomi-casino-hotel-3780652242,Corporate Assistant Financial Controller,Potawatomi Casino Hotel,Greater Milwaukee,non_us_or_metro
